review_id,predicted_star
SE3NWk7exO4LhLrG-4fq8A,4.0
HDjbIqJJNqgOLezeikEA_w,4.0
_TrAAObnxO9ZHfY6twWB1w,5.0
jqjtghMH3Uy6mGYk7k9Heg,3.0
0c4Tn5kRB09dByvmcEWxbw,4.0
okNCshpjPBrFgjiunPw5_g,4.0
FoXJaw6So0q8aCDN4vaKyw,4.0
9EDZCpuBFus-WvnCEtSkvQ,4.0
Ng_IzE5v-VYK5f9e7ms0Gg,4.0
ETMe89vR_YlfBk0rHFc_rw,4.0
RyuGo6frJAt4NsgMN5VU8g,2.0
3ANCbVZXv_vG_KqCg5BUaw,5.0
xwML8vR6YLG6MWGmBy-G4g,4.0
nSblsfBmK_DYWKB2R9btNA,4.0
MfaGwegYcwbizHGmlRlJRQ,4.0
uB2rzQJA4FAWAjYhsiR30A,5.0
AAP8sBo0zlBOpvU8y2_p5A,5.0
NR3Y2T3WkgNgsDwNsbhNHQ,3.0
oYsfLKdzFX7Oz7B0txpN8w,5.0
lfFvyb8IUKtfKu8syx_4oA,2.0
oshK90_my5s8KNuP33vnEA,5.0
gKMdJFV51LToZaHd1UtTzg,5.0
g_huWJuj-h5ySOH2ptKRaw,5.0
tfEu4_7fiO_OiO9FZFxTWA,4.0
HUB8NNuDRh0kKS6FrvEKQg,4.0
KIHbG9EbqSTPJFZw_K4bYA,5.0
6nCCIrBRiG2IfPXUb6cPYg,5.0
DZYU6yP_Yq8UuD7OXEuT8g,1.0
0bcvLyr-3xNyM4-DerzIlw,2.0
5ep5KrxQmkS9Q-yYfvut2Q,3.0
UwzEwBwsUBek6Vn2mcROqQ,5.0
q-s-HpObKNYE0IkdKpOnpg,2.0
1z-33lDxrO8uend0FmMU1g,4.0
dqv_dtd1GEcQjbWUxBKqCw,5.0
ogmQFgCfqkVQo_iFIaILOw,4.0
tTHjCJvQQwCJN8-GcZOgZA,4.0
00Pf9TlMZBgn5EziQAlFKw,1.0
C4rcjVQObI5NiiPgjKxHnA,5.0
w34XkHL2ZSRS5eYoizL8bw,3.0
27fpU4WKZqljgI1o7VykDA,2.0
r-oTncAg_h0UC5W33SOM7Q,2.0
69yY48SDj-UDCKlGgn-nqg,4.0
BNNhg9tZcsadQWFT_gQfRQ,4.0
-RAazFUrFwjK72WEYMl9Nw,5.0
-spAj4A-zp7X7wHFiwz4HQ,4.0
IH3xRXwygeYH8orFRXfWCQ,3.0
ryffeSsvjQ_NzJMeaPFjpA,4.0
WRPCyUZ8U60vjNtN9LnQIQ,3.0
7McmKPDZ3OAgZZktQdx8cg,3.0
2YRVyeg-5pXkZ5K2LkBESw,2.0
tQV6GirvH1dYjFsGR50xaA,5.0
y1qRSXr3R1i8RNKZ-IKtIw,2.0
GCb1Auf_SlJo5uwSBETRNw,3.0
Ftie-79aDeaDzu3mkyAwZQ,4.0
p7vMNCPpUNxaskI_o6pupQ,4.0
a_Ilvo1En3VZ3bTSK-KwpA,4.0
gS_wbCsqXHp_gK7U7iLzFw,5.0
d616vNp4tZoaz-FV19bbjA,4.0
u6MYBUH_KJ3bK5RCPE8T6w,4.0
sIiiPu0WI1UC8qBj3wmERg,5.0
knTxVd3-ppOA5COtoU_Tpw,4.0
ecIhFFhZPQ_FhohQLR2ONA,5.0
gB7ZjbwvlSBWfPawBDCO0Q,3.0
bCTpKGXgtUxGHECnMyj5SQ,4.0
7ja6sCCLWSLVy52SmIcJ6A,5.0
qsMxFj7qzvzuuVJQnHBdvQ,5.0
yWJ0y8okzShoIah34ACuiQ,2.0
6ffxoZJdP6A0jW7cTxHQgA,5.0
PvgwlfXwBMvIuj3J-qA01w,4.0
2nWkb-Bnur3e4FCs8l7epQ,3.0
aBlbhUUd100tyPAYvurQ6A,4.0
cqS3v-1UxNcKLSgclap-ew,2.0
fZw6oyjD7H8wEJ6CjrTDWg,5.0
JTRlswjrk4RhGK88Kja4eg,5.0
uPc5Vo9qD3b0nH-vm60Itg,5.0
YUcLjdBMz_kGe84UbTk-cQ,5.0
7V5w2_WN2uOUsBL5-81pVA,2.0
_QPkW7xogLyiUl-7twR2lw,4.0
YQFi7qArAT_6XPoJM876mg,4.0
eWxuonb23WJ5lZK_keGssQ,4.0
raanYS04IA93V6KcL9vbdw,5.0
whbIDGqZj9zHd4EpLbhGpw,4.0
xwntN1JZWkF_PQqI3kixgQ,3.0
aq_fEdI61JYMgPCKj1VCSg,4.0
g1oGs0_gJKWHtU6Fm6CgoQ,4.0
NxlXku1BqXomnLGE-ln_Jg,4.0
lCisZXXXFOvidyjzj4Gfog,4.0
0dKXlRY-YpVxhdmTzzsTGw,4.0
43Ov43XABDfT8GsNjNt8yg,4.0
TGjPcGGwonB-prVjdSeMrA,4.0
yuZ7iAgI3qp8kANqQVnglg,5.0
Bu50-egt-4uska4t4FfdMQ,5.0
SgRgtW6zMqPIGQ6AmXtCgQ,4.0
lvM7-zg-PPeYO8nDeAL5Ng,5.0
N6j9wXudDYwJCX2rGKwOEQ,4.0
TfaSk3HVV5aCo05vMOl5Ig,5.0
xlPygHPd9kcUkW0VEGPX1w,5.0
_7Qu_cKq2HoGVUwECSf_aQ,4.0
zaU1xU0vmOSH4WpiATMEiw,3.0
8t7Q8pk3rzkfiOkU-ilo7Q,4.0
iMBnX5AlbVtWc_8vNwgrbg,5.0
